text,id
Good post.,5_304_2
Linda Lee Clements.,5_305_1
STFU Karen!,5_305_2
"Anna Larson, please get out of here!",5_306_1
"Anna Larson,",5_307_1
Dennis Elswick so are malignant narcissists,5_308_1
Carol Dameron You don't know disaster until the next career one gets in.,5_309_1
Anna Larson SIIIIGGGGGHHHH!!,5_310_1
Anna Larson these are all lies and biden never said he was taking away guns he said that people that own guns should be more educated,5_311_1
Carol Dameron aww come on man.,5_312_1
"Obama beats him in the narcissistic .....oh wait, Obama STILL tells us how great he is.",5_312_2
I can't Stand that clown.,5_312_3
We just can't get RID of that 'holier-than-thou' dip s*** moral superiority putz.,5_312_4
(shudder),5_312_5
Gary Miller You dont read much do you?,5_313_1
lol,5_313_2
Carol Dameron I double-dog dare you to tell Biden he isn't 100% right.,5_314_1
LMAO He will have your head on a platter faster than you can whistle for your dog to save you.LOLOL.,5_314_2
Anna Larson  read the constitution regarding gun owners and a well managed militia!,5_315_1
It’s not an assault rifle hidden under your bed!!!,5_315_2
Miriam Louise Citro-Burtoff we have had chaos and disaster ever since Trump the failure go into office.,5_316_1
He will bankrupt the US like he did his businesses.,5_316_2
Barbara Lemley you must be talking about blowhard Trump who can’t spell or put a simple sentence together.,5_317_1
Linda Lee Clements That is so generous of you Linda.,5_318_1
Why don't you quit the loser whine and get behind your new president.,5_318_2
This hatred of the other side is the creation of Trump and serves nobody but him.,5_318_3
"Richard Huetter Not a partisan lie, you like all the socialist and communist hate the truth, America is better off taking care of America and let the world take care of the world.",5_319_1
And one thing that government should be looking at is the lack of true i… See More,5_319_2
Deborah Swart So ok you take your wealth no matter how small or how great and send to the W.H.O..,5_320_1
"There are citizens here that are tired of the demands made on America, while the rest of the world puts in either very little or nothing at all.",5_320_2
"Linda Lee Clements Once again, you dive into a pool without knowledge of its depth.",5_321_1
"Quit generalizing, stick to a subject of which you may actually have knowledge.",5_321_2
"Otherwise, just stop babbling.",5_321_3
Anna Larson put up or shut up.,5_322_1
It’s obvious you have nothing to back up your insinuations.,5_322_2
Barbara Lemley,5_323_1
"Anna Larson, I find it extremely odd and very troubling that so many trump followers seem to be living in an alternate universe where Truth and Reality don't appear to exist.",5_324_1
Does telling baseless lies do anything other than Feed trump's Cult?,5_324_2
"Sharon Nisler How dumb, let I paid for social security for over 35 years of my life and I paid for medicare.",5_325_1
Medicare for those that are stupid comes right off the top of what you receive every month and is a 80% pay ( so most people right now are abou… See More,5_325_2
Linda Lee Clements please join us in the real world....,5_326_1
Anna Larson afraid that things like your love of QAnon is going to get you labeled as insane?Otherwise nothing to worry about.… See More,5_327_1
"Linda Lee Clements if you've fully funded the retirement money you will receive once retired, why is it going broke?",5_328_1
You dont fully fund it & you dont fully pay your medical costs under Medicare.,5_328_2
Di some research.,5_328_3
It is a socialist program.,5_328_4
"Barbara Lemley, Biden only plans to tax very specific types of guns and it's a one time $200 tax when you register the gun.",5_329_1
If you don't want to pay the tax you are more than willing to sell the gun back to the government and get a different type of gu… See More,5_329_2
He's a child pretending to be an adult.,5_330_1
Anna Campas He only gets the adultery part right.,5_331_1
Anna Campas Most children are more adult than him.,5_332_1
 much respect Anna,5_333_1
"Just remember at the G summit when the topic was Covid, Trump went golfing instead..",5_334_1
Ellie Lobel He is such a jerk.,5_335_1
He don't care about anything but himself.,5_335_2
What a lousy so called President.,5_335_3
Can't wait for Jan. 20th.,5_335_4
Ellie Lobel ....last year when EVENT 201 was conducted all Media and Dem leaders were RUSSIA RUSSIA RUSSIA....then UKRAINE UKRAINE UKRAINE....imagine if we were pandemic focused from August 2019.,5_336_1
But Pelosi and her power grab,5_336_2
"Ellie Lobel - yes, Trump went golfing instead.",5_337_1
And the really stupid thing about that is that he didn’t have to GO anywhere to be a part of the G-20 meeting: it was conducted remotely.So all Trump had to do was sit there in the Situation Room - and h… See More,5_337_2
Ellie Lobel Shamdemic,5_338_1
Ellie Lobel he should be charged with murder against humanity.,5_339_1
President Biden has already announced that he will REJOIN WHO on his first day in office!.......YAY!,5_340_1
How can people not see the corruption in the WHO?????,5_341_1
You mean how do you not see the corruption in the White House.,5_342_1
Sabine Mayer what corruption in the WHO?,5_343_1
Can you explain?,5_343_2
Sabine Mayer show your sources or shut the eff up.,5_344_1
Ana Campos I don’t care about the White House.,5_345_1
But I do care about world health.,5_345_2
Sabine Mayer that’s not what this is about,5_346_1
Sabine Mayer please explain this corruption.,5_347_1
Jan Lett   I guess Sabine is just regurgitating Rush Limbaugh words she hears,5_348_1
Sabine Mayer do telll....,5_349_1
everything is corrupt but monstrously enormous big business and the republican party ah reckuns,5_350_1
There is a huge conflict of interestIn the funding of the WHO by Pharmaceutical Industry.,5_351_1
You can look that up yourself.,5_351_2
"Sabine Mayer oh..you mean the big pharma funds WHO, who  in turn uses their products..like Novartis...who manufactures the medicine for leprosy....that kind of conflict?",5_352_1
"Jan Lett you don’t understand that there are historic reasons why the funding has to be neutral from the countries and not through Pharma industry, directly or indirectly through.",5_353_1
BG.,5_353_2
Eileen Helgeson Laib.,5_354_1
They are excellent parrots!,5_354_2
The WHO Director is apart of communist group in Ethiopia tasked with killing millions of innocent humans.,5_355_1
His resume fits the criteria necessary to hold the position.,5_355_2
Sabine Mayer how about just allow the WHO to help and manage health issues and emergencies globally...and we take comfort that they're doing that...how about that.,5_356_1
Sabine Mayer idk these pplAre all brainwashed!!,5_357_1
Sabine Mayer you're talking about Donald Trump.,5_358_1
He knew about it in November of last year.,5_358_2
"Sabine Mayer , dont tell US to ""look it up"", make your point or STFU...exactly the problem with rabblerousers, throw it out there but dont give FACTS to back it up....you think you're the president or something?",5_359_1
Mark Bauer funny but we shouldn't attack her..,5_360_1
Unity is what we stand for...divide is #45 deal...… See More,5_360_2
Evelyn Rodriguez Miron Your arrogance is outstanding.,5_361_1
Second biggest funding after the US was Bill and Melinda Gates foundation and this presents a conflict of interest.,5_361_2
WHO is supposed to be independent.,5_361_3
Michael Bente Yes Tedros did not meet the minimum requirements to become a world leader.,5_362_1
I read the letter of the world leadership committee.,5_362_2
Plus his record of corruption and being responsible for the death of many people in Ethiopia.,5_362_3
"The work the WHO does on a daily basis is extremely important for the undeserved around the world, we will definitely be back in as soon as we get this fool out of office.",5_363_1
The grievances with W.H.O.,5_364_1
"were Trump's personal ones, and not those of over 80 million voters (and their loved ones) said otherwise.",5_364_2
Who cares what he says.,5_365_1
He’s a lame duck who can barely quack.,5_365_2
Kara Smith you wish!!!!!!!!!!!!!!!!!,5_366_1
"Your teaser says, ""Hours before President Trump announced that the U.S. was leaving the World Health Organization, his ambassador in Geneva delivered a list of seven demands.",5_367_1
"Here's what the administration wanted.""",5_367_2
Yet not until the TWENTY-FIRST parag… See More,5_367_3
Poor Biden is walking into scorched earth.,5_368_1
This pathetic excuse of a man (Trump) is going to burn every bridge and cause any and every kind of damage he can before he is forced out on 1/20/21.,5_368_2
"He is akin to a child who doesn’t get their way, so they ju… See More",5_368_3
Danielle Lewis biden is a big boy and will have the right people to handle this.,5_369_1
"Trump, we all knew was going to wreck as much as possible as he was leaving.",5_369_2
It's just the fact of how horrible trump is as a person,5_369_3
Danielle Lewis don’t forget the repubs who have been screwing over incoming Dem presidents since Reagan.,5_370_1
Danielle Lewis that is so true and so very sad.,5_371_1
I don’t understand why we have to wait 2 months for the new administration to take over!,5_371_2
This man is vindictive!,5_371_3
He’s going to cause much more damage before he leaves,5_371_4
"Danielle Lewis, The good thing is the rest of the world knows they will be dealing with a real president when President Joe Biden gets inaugurated, not an unhinged mentally unstable narcissistic maniac, that one has to leave, wanting or not, he's out.",5_372_1
Danielle Lewis Same as Obama did for Trump in 2016.,5_373_1
Karma is a what?,5_373_2
______!,5_373_3
Jay Sanchez delusional.,5_374_1
Obama did nothing to hurt tRump.,5_374_2
Jay Sanchez comparing a man of character like Obama to that vindictive narcissistic monster Trump is outrageous,5_375_1
"Jay Sanchez if that’s what you truly believe, then I feel sorry for you.",5_376_1
"No president is perfect, but last I checked, the country wasn’t on the brink of another civil war, facing crippling debt  and hundreds of thousands of its people dying unnecessari… See More",5_376_2
Danielle Lewis did you read the article?,5_377_1
Some of his demands were so reasonable especially restricting travel.,5_377_2
"Amy Schmidt yea, but some of those demands were not.",5_378_1
He was using it for campaign purposes only.,5_378_2
"If he really cared about American lives, he would have continued negotiations.",5_378_3
"Some of his requests have already been approved, but he withdrew before they… See More",5_378_4
Brandy Williams exactly.,5_379_1
"biden will need 8 years to get america back on track again and after that, please make sure to elect another democrat, alright?",5_379_2
Amy Schmidt  did you read the article?,5_380_1
"""“It wasn’t a negotiation.",5_380_2
"It was blackmail.” ""While the Trump administration’s demands are now moot, they offer a glimpse into both the growing American frustration with the W.H.O.",5_380_3
and Mr. Trump’s personal grieva… See More,5_380_4
"Ana Paula DeJesus , I wish there were a way to remove him NOW!",5_381_1
"Danielle Lewis once again, democrats are left to clean up the gop’s messes.",5_382_1
Danielle Lewis and his legacy will forever be a part of history.,5_383_1
It’s getting worse by the minute,5_383_2
"Faranak Forghani Hashempour I vote for the best candidate, no matter the party.",5_384_1
I don’t owe loyalty to any party.,5_384_2
I owe loyalty to the nation.,5_384_3
Faranak Forghani Hashempour Lynne Weimer I could not agree more.,5_385_1
What we have now is thanks to YEARS of republicans gaming the system so that they don’t lose.,5_385_2
If they spent as much time helping the American people as they did trying to get and keep pow… See More,5_385_3
"Jay Sanchez Proof, please.",5_386_1
"Obama left everything in place, showed Trump the guides and the committees.",5_386_2
"Trump immediately threw everything away, because of his jealousy of Obama.",5_386_3
"Then, when he needed plans for a pandemic, help from experts, etc., there … See More",5_386_4
Danielle Lewis He's a sociopath.,5_387_1
He just doesn't care who he harms with his incompetence and indifference.,5_387_2
"Evelyn Johnson  Obama was a better president than trump,  the economy started with Obama!",5_388_1
"Jay Sanchez Obama left a fully organized Pandemic Response Team, which IQ45 promptly disbanded.",5_389_1
Jay Sanchez got proof?,5_390_1
Amy Schmidt this is a prime example of blindly following someone.,5_391_1
"True world leaders  don’t make demands, period.",5_391_2
He has no business doing this job.,5_391_3
Julie Laughlin Effertz IQ45 can’t read WITH a teleprompter.,5_392_1
“Yoseminite”  All of the conspiracy crappola about Biden having dementia was started by Russia.,5_392_2
"Anyone watching the debates, any of his outdoor socially distanced safe rallies… See More",5_392_3
Julie Laughlin Effertz.,5_393_1
If not for the pandemic Bidens crowds would have attracted large crowds.,5_393_2
We don't care about that petty crap.,5_393_3
We care about policy and decency and empathy.,5_393_4
I wouldn't risk my health if Elvis rose from the grave.,5_393_5
PS Trump reads… See More,5_393_6
Axle Richards ...just a fact of how personality disordered Donald is!,5_394_1
Narcissistic Personality Disorder—serious mental disorder!,5_394_2
Wendy Merckel  honestly!,5_395_1
I think too many people forget that this “vote against everything democratic presidents suggest” started WAY before Obama,5_395_2
Anna Larson the party is not full of murderers.,5_396_1
Parties don’t murder babies.,5_396_2
"That scare tactic is lame, misleading, and so over used.",5_396_3
Individuals make decisions on their situation of whether to have a child or not.,5_396_4
A party doesn’t force them to do it.,5_396_5
Wendy Merckel those republicans urgently needs to be removed.,5_397_1
they are just evil!,5_397_2
Ana Paula DeJesus He's trying to throw us into a depression.,5_398_1
Danielle Lewis keep in mind this is not his brainchild.,5_399_1
"Putin, steve Bannon, Stephen Miller and others are behind these attempts to break our democracy.",5_399_2
Trump is just the laughable clown face-of-it-all.,5_399_3
They know they can still cause damage over the ne… See More,5_399_4
Julie Laughlin Effertz Biden is much better than trump,5_400_1
Jay Sanchez,5_401_1
Danielle Lewis I think the world stage is just bidding their time until Biden takes over.,5_402_1
They know these are the actions of a petulant child.,5_402_2
Someone who makes Kim Jong Un the adult in the room,5_402_3
Screw Biden is nothing but a corrupt politician who has cheated his way to everything,5_403_1
Danielle Lewis prayers for Biden.. That's for sure.,5_404_1
Evelyn Johnson People get always homeless in America.,5_405_1
It’s America!,5_405_2
Danielle Lewis the scariest part is living with this unpredictable President.,5_406_1
His legacy will stand on its own wobbly legs and will not be pretty.,5_406_2
"Faranak Forghani Hashempour actually, it’s not.",5_407_1
There’s a whole lot of purple going on.,5_407_2
Danielle Lewis I think Biden is more then capable of handling this.,5_408_1
Amy Schmidt I worry about a Guy that dosent know where he is half of the time.Or reads from a telapromptet to express his self.A guy that cant drawa crowd and too forgetful to be president!,5_409_1
"Danielle Lewis HES ALREADY BEEN HARD AT WORK TO SABOTAGE BIDEN, EVEN TRYING TO PUT COVID MONEY WHERE BIDEN CANT TOUCH IT THEY ALL NEED LOCKED UP!!!",5_410_1
Danielle Lewis I think the  world knows Biden is a completely different President than Trump and will work with him again.,5_411_1
Remember he is not new to the world and he has great respect from foreign leaders.,5_411_2
He is trying to save us y’all!!!,5_412_1
Our political world was messed up way before this man got into office.,5_412_2
Laurie Haischer that’s one of the truly scary parts of this,5_413_1
Faranak Forghani Hashempour you said make sure to elect another democrat.,5_414_1
I’m not democrat nor Republican.,5_414_2
I’m no party.,5_414_3
It’s supposed to tell you I’ll vote for the best candidate in the next election.,5_414_4
Mary Kannapes Fraggis me too!,5_415_1
Frankly this business of elections being in November and the loser stays on for 2 more months making decisions makes no sense!,5_415_2
Whoever wins should start ASAP,5_415_3
"Danielle Lewis  Actually he's more like the psychopath 5 year old who,  given a spanking for setting the family pet on fire, retaliates by setting the house on fire and killing his parents.",5_416_1
"Trumpski is desperate, and acting out of fear.",5_416_2
Good.,5_416_3
He has a… See More,5_416_4
Danielle Lewis Biden is getting the keys to the boat house after the hurricane hit !,5_417_1
I still predict he can do a better job than 45 even under these  circumstances!,5_417_2
Danielle Lewis i agree,5_418_1
Thank God we are (almost) done with this nightmare.... an erratic and corrupt administration has done a lot of damage to the US standing in the world,5_419_1
"Henry Villate January 20, 2021 can't get here fast enough.",5_420_1
Henry Villate 54 days and counting down,5_421_1
Henry Villate haha your nightmare is going nowhere,5_422_1
Piero Carrara yes he is...he'll be spending time in a cell if the SDNY has anything to say about it...which they do.,5_423_1
IRS may have a beef too.,5_423_2
Lentini Linda  You are dreaming - think of this would you still want to pay taxes when Trump tells you that no more taxes will be required - because there are many idiots that are convinced that taxes are important but all they do is fund a huge bunch … See More,5_424_1
Henry Villate AMEN TO THAT!,5_425_1
Henry little clown children followed by even dumber toddlers,5_426_1
Henry Villate how,5_427_1
Henry Villate To be replaced by Corporate oligarchs.,5_428_1
Henry Villate NOT soon enough!,5_429_1
He is planning MUCH more damage!,5_429_2
"Henry Villate, exactly",5_430_1
Henry Villate you still have Mitch.,5_431_1
Piero Carrara buddy you are nuts!,5_432_1
What's that saying?,5_432_2
You can't see the forest for the trees!,5_432_3
"Why you even talk about our politics is beyond me since you aren't  even a resident, yet you know it all!",5_432_4
Notice we are all laughing at your delusional commen… See More,5_432_5
You are short a sandwich for your picnic.,5_433_1
Brenda Lowe ..we still have a big chance to sit Mitch in a minority side of the senate with the Georgia run off,5_434_1
"No, we're not.",5_435_1
"He's adding gasoline to the forest fire he starred, to make sure that we 'pay.'",5_435_2
Trump never cared about the health and welfare of the people of our country.,5_436_1
All about Money.,5_436_2
Christie Ley he has plenty of money...,5_437_1
He needs nothing.,5_437_2
Biden would sell this country out for a song.,5_437_3
You people are so brainwashed by the lying liberal media.,5_437_4
Christie Ley  He didn't!,5_438_1
That's why he could LIE for five years about giving them the most beautiful healthcare plan and five years later they have NOTHING!,5_438_2
Christie Ley About money and himself.,5_439_1
Christie Ley true,5_440_1
Kim Rodrigues Go hide in your hole of ignorance.,5_441_1
"Christie Ley , I always wonder how so many I know, don’t see him as I do, well as most of us do??",5_442_1
"Kim Rodrigues, ""he has plenty of money"", huh?",5_443_1
Does that include the $4+ million in loans coming due soon?,5_443_2
"Christie Ley , take your own advice.",5_444_1
If Trump needed money I'm pretty sure he would take a paycheck!,5_445_1
Some people!,5_445_2
"Dannie Dias On the contrary, I am very well informed, which is why seeing the back of Trump will be a day for this country to celebrate.",5_446_1
"Christie Ley , not really.It's not a Biden Administration.",5_447_1
It is made up of leftover Obama administration.,5_447_2
"And Pelosi, Obama, Clinton and Kamala will be running things.",5_447_3
Biden will be in his basement.,5_447_4
Beverly Ann you can keep your doctor.,5_448_1
"Kim Rodrigues  I don't need or use Obamacare, so I sure can!",5_449_1
"Barbara Gordon It's not 4+ million, it it's more than 400 million becoming due soon, but he most likely has over a billion dollars debt.",5_450_1
"Christie Ley stroking dogs and single, sounds kind of pathetic up there in Bernie the Commie's lalaland.",5_451_1
Have a nice weekend.,5_451_2
"Sonia Solis, thanks.",5_452_1
That was my typo.,5_452_2
"You're correct, it is $400+ million.",5_452_3
"Kim Rodrigues ""stroking dogs and single"".",5_453_1
"What a burn, huh?",5_453_2
"Talk about pathetic, that comment sure seems to have met the definition.",5_453_3
I'll bet you're real proud of yourself.,5_453_4
so much ignorance and misinformation in your comment that fb should flag it..oh but silly me fb loves the lying left,5_454_1
Kim Rodrigues the man owes close to one billion dollars.,5_455_1
Let that sink in.,5_455_2
Christie Ley really you're well informed ?,5_456_1
lololollolololol best joke of the night!,5_456_2
Barbara Gordon 4 million is chump change to Trump,5_457_1
"Marianne Krause, true.",5_458_1
"But $400+ million is more than just chump change.And BTW, we don't know which foreign entities he owes that money to, so we don't know which foreign entities he might do ""favors"" for before he leaves office .",5_458_2
.,5_458_4
or what he mig… See More,5_458_5
These are the kinds of decisions a scorned outgoing President should not be able to make alone.,5_459_1
A lot of damage can be done in two months.,5_459_2
Bob Glock Your solution?,5_460_1
Suspend the Constitution?,5_460_2
Close to impossible.,5_460_3
Amend the Constitution?,5_460_4
"Good luck with that.I don't think he will do it, but I would like to see Trump issue a multitude of pardons/clemency/commutation orders.",5_460_5
Including on… See More,5_460_6
"Bob Glock moron, we pulled out 1 year ago!",5_461_1
Get your facts straight and look at what we were paying versus China!,5_461_2
Bob Glock amen to that!,5_462_1
His plan is to make things so messy and just sit back (from his jail cell) and watch the new administration scramble.,5_463_1
Karma is coming for him can't wait to have a front seat to watch!,5_463_2
Shonese Warrington except...they are competent..so he won't have any scrambling to watch.,5_464_1
He'll be like the Grinch on Christmas morning listening to The Who's down in Whoville singing out.,5_464_2
Christine Kirby They are very competent you are right.,5_465_1
This daily sabotage is too much though smh,5_465_2
Shonese Warrington agreed..I am trying to maintain my sanity through perspective...it is all we have.,5_466_1
Shonese Warrington.,5_467_1
Yea KAMALA HARRIS is the dems KARMA!,5_467_2
Save The children,5_468_1
"Trump just won 2 Huge court decisions, STOPPING the PA elections from being certified (or Un -certified)Sydney Powell just dropped a BOMB  on Georgia, which may see some election officials in PRISON!",5_469_1
Maybe Trump will pay them a visit .... but that … See More,5_469_2
Typical Narrccisist.,5_470_1
Destroy everything on the way out.,5_470_2
Trump cares nothing of this country nor its citizens.,5_470_3
Everything was always about his fragile ego.,5_470_4
Ellie Lobel this was done back in May.,5_471_1
Did you even read the article?,5_471_2
A lot of the demands weren’t that bad and made sense.,5_471_3
"Shaun Vigil no, a lot of his demands showed that he has zero idea of how WHO works and what agreements/arrangements were made prior to this buffoon taking office.",5_472_1
Tara Sigurdsdottir  How so?,5_473_1
What ideas/demands were bad and why?,5_473_2
"Shaun Vigil Here, John is far funnier and more concise than I care to be.",5_474_1
Tara Sigurdsdottir this doesn’t really address a lot of the demands laid out in this article.,5_475_1
It was made over a month ago so not sure if they were even specifically known yet.,5_475_2
Shaun Vigil yes it does.,5_476_1
It gives a pretty detailed account of why trump’s idea to leave WHO is idiotic and shortsighted.,5_476_2
"Trump made these demands in May, as you yourself stated.",5_476_3
The NYT article is from May as well.,5_476_4
"If anything, the video provides a mo… See More",5_476_5
Tara Sigurdsdottir where does it say it’s from May?,5_477_1
It’s dated today.,5_477_2
The article doesn’t mention anything about the funding discrepancy with China like the video does.,5_477_3
This video addresses very little of what was said in the article.,5_477_4
Please show w… See More,5_477_5
"Shaun Vigil sorry, I misspoke, there is another almost exact NYT article from May talking about trump’s demands.",5_478_1
They’ve been known and disregarded as stupid af for months now.,5_478_2
Also- like really?,5_478_3
You want me to detail the article that’s behind a pay wa… See More,5_478_4
It is so embarrassing to be represented by such an incompetent human.,5_479_1
We dont like election stealers.,5_480_1
Stop it emilie.,5_480_2
James Coker You mean like the Republicans who struck thousands of people from the voter rolls in swing states?,5_481_1
That kind of election stealing?,5_481_2
Not that it really worked out for them in the presidential race.,5_481_3
"James Coker sour grapes, if you know something Trump’s lawyers don’t know you better contact them, or continue blaming everyone, because more people voted for Biden.",5_482_1
"The only stealing that was obvious, was this administration destroying time saving ma… See More",5_482_2
"Emilie Elisabeth you should be worried, even your voting fraud machine makers are running scared now https://youtu.be/0oYQeeNCzZM",5_483_1
The Pennsylvania house says diffrent.,5_484_1
Emilie Elisabeth Really?,5_485_1
Your a sucker for main stream media.,5_485_2
Diversify and know.,5_485_3
Check ot reporters Ben Swann and Del Bigtree.,5_485_4
Corp funded media has an agenda.,5_485_5
Oh you realized that right?,5_485_6
That THING ain't human!,5_486_1
James Coker so what are you going to do on January 20?,5_487_1
"Also, *you're.",5_488_1
Are you familiar with the Dunning–Kruger effect?,5_488_2
"Daisy Won yawn, conspiracy theory sheeple who can’t discern and evaluate truth from fiction.",5_489_1
Use rational judgement rather than rely on out there conspiracies just because you don’t like that Biden won.,5_489_2
#cantthinkforthemselves,5_489_3
James Coker Ok Q.,5_490_1
Glynnis Rambaud When people show up to vote the GOP loses even with their cheating tactics.,5_491_1
Emilie Elisabeth It is indeed.,5_492_1
We just all need to be tolerant and overlook the dementia.,5_492_2
"Des Bland Oh, I see..You would buy Golden Gate Bridge if you heard about it from main stream media as you merely are led by popular thought.",5_493_1
"You are as ""SHEEP"" as they come.",5_493_2
"And speak for yourself, if you don't know how to discern fact from fiction, le… See More",5_493_3
"Emilie Elisabeth Yes, and it's a good thing for you to keep in mind.",5_494_1
Main stream media is corporation funded.,5_494_2
With an agenda of course.,5_494_3
HELLO.,5_494_4
Daisy Won lol that’s just a long winded way of saying u can’t cope with the reality that Trump lost and Biden will be 46.,5_495_1
Don’t comment on social media if you can’t live in the real world.,5_495_2
Also a Trump believer inferring they are in touch with realit… See More,5_495_3
"Daisy Won, Fox and RT America, and an anti-vaccine group are your ""unbiased media""?",5_496_1
Emilie Elisabeth From reading his 7 demands it clearly shows that he is not incompetent.,5_497_1
Glynnis Rambaud Where did you hear that lie?,5_498_1
CNN?,5_498_2
Micci Meyer More people voted for Trump.,5_499_1
"The WHO has some problems, but taking your bat and going home is not going to fix them.",5_500_1
It is yet another example of Trump putting out a bunch of demands just for spite.,5_500_2
"Also, you might want to look up what WHO has done.",5_501_1
They’ve had a couple mistakes (like being slow to respond to Ebola) but eradicating small pox was a major feat.,5_501_2
"Their work on vaccinating children has helped reduce preventable child death rates a lot,… See More",5_501_3
Oh but paying them billions of $$ every year fixed those problems?,5_502_1
Tania Nunley billions every year??,5_503_1
Really.,5_503_2
We’ve contributed 3.5 billion over the last 10 years but ok.,5_503_3
Warren Lauzon Spite and stupidity.,5_504_1
Renate Bob Because the US getting out of international treaties and organizations worked so well in the past.,5_505_1
I just hope that Biden can get the US into TPP now.,5_505_2
Tara Sigurdsdottir trolls don't care about facts.,5_506_1
But good on you for trying.,5_506_2
"80,000,000+ of us don't care what petulant don the con does.",5_507_1
Just go away!,5_507_2
Elizabeth Toler Mullins More like 40.,5_508_1
Elizabeth Toler Mullins nobody believes that ridiculous 80M number.,5_509_1
Mary Lou White Hughes I can’t believe over 72 million voted for trump after everything we’ve seen.,5_510_1
I can’t believe there are that many stupid people walking around completely unsupervised,5_510_2
"Mary Lou White Hughes   You mean you butt sore losers and your soon to be ousted dear leader,don’t.",5_511_1
We don’t give a crap.,5_511_2
On January 21st Don the Con is gone!Trump For Prison 2021!,5_511_3
Mary Lou White Hughes I do!,5_512_1
Votes were counted.,5_512_2
Apparently the DHS believes that too!,5_512_3
And the federal judges!,5_512_4
https://fcw.com/.../cisa-bold-type-most-secure-election...,5_512_5
Mary Lou White Hughes really?,5_513_1
I do,5_513_2
Mike Thornton Trumptards have proven repeatedly that they don't know how to count.,5_514_1
Mary Lou White Hughes Dear Lord...,5_515_1
PLEASE stop drinking Trumps swamp water.,5_515_2
"It has really affected you all, so much.",5_515_3
"Brainwashed, blind, ignorant, stupid or just too much BS.",5_515_4
There was no fraud.,5_515_5
Step aside.,5_515_6
Elizabeth Toler Mullins wonder if it can be done before 20 Jan .,5_516_1
Becoming unbearable,5_516_2
"Mike Thornton yup the smarter educated, not reactionary ones.",5_517_1
"Mary Lou White Hughes , I BELIEVE!",5_518_1
Mary Lou White Hughes idea !,5_519_1
Why don’t you and the Dump sit and count them votes ... all 80 million ?,5_519_2
"Of course , that’s if you can count after 20....",5_519_3
"Mary Lou, there is NO reason not to believe it.",5_520_1
Certainly NO evidence of anything to the contrary.,5_520_2
Diane Louise statements like yours are one of the reasons Trump won in 2016.,5_521_1
And why President Trump got 11M more votes in 2020.,5_521_2
Anyone paying attention knows there’s no way Joe got 80M votes.,5_521_3
"Where in Moscow, Russia  do you live, Mike?",5_522_1
Many people across the globe feel the same way.,5_523_1
Terry Stevens Exactly probably fraud  coming directly out of Florida via DeSantis,5_524_1
"Mike Thornton no, that's don the con's number of cultists.",5_525_1
Mary Lou White Hughes I believe it too.,5_526_1
"Mary Lou White Hughes, Santa told me to believe!",5_527_1
"We want you to believe too, as we all go ridin with Biden!",5_527_2
Jay Tannehill,5_528_1
Mary Lou White Hughes and this!!,5_529_1
A nonpartisan group of judges in Nevada unanimously ruled!!,5_529_2
https://apnews.com/.../election-2020-joe-biden-donald...,5_529_3
"Perhaps the cultists should move to Parler, their safe bubble in tRumplandia!",5_530_1
Elizabeth Toler Mullins I'm afraid of what draft dodger don will do before he is gone,5_531_1
Mary Lou White Hughes should be 100 million,5_532_1
"Dennis Hettinger me too, look what he's done out in the open.",5_533_1
Elizabeth Toler Mullins yes go away already!,5_534_1
@#×$%&,5_534_2
Elizabeth Toler Mullins he honestly should be charged with murder.,5_535_1
"Rotna Das see, there you go.",5_536_1
Disagree with a liberal and out comes the name calling.,5_536_2
This time it’s how uneducated I must be if I support Trump.,5_536_3
How sad for you.,5_536_4
Mike Thornton I agree that there is no way that trump got that many votes.,5_537_1
He didn't win when he ran against Clinton.,5_537_2
Terry Stevens he didn't it was rigged.,5_538_1
Just like the first time.,5_538_2
That's why he didn't want anyone to vote by mail.,5_538_3
Those machines can be tampered with.,5_538_4
Marla Sherman Schwoerer TRUMPIES understand his BS.,5_539_1
They are not interested in any truth.,5_539_2
"So brainwashed, delusional, blind, ignorant or stupid.",5_539_3
It’s senseless to try and reason with it!!!!,5_539_4
"Mary Lou White Hughes facts, please (or at the very least, court rulings?).",5_540_1
I’ll post again facts which you didn’t comment on before.,5_540_2
"I am more than open to having an intelligent, respectful discussion not based on emotion or fear.",5_540_3
Do you care to ha… See More,5_540_4
Mary Lou White Hughes look up how many  Republicans voted for Joe Biden.,5_541_1
Check out the Lincoln project.,5_541_2
That's all ran by Republicans.,5_541_3
Who knew what trump was doing.,5_541_4
Rotna Das Can't .,5_542_1
Dennis Hettinger Try researching Biden's 5 deferments.,5_543_1
"Mary Lou White Hughes did t call you any names, honey.",5_544_1
Asked you to count the votes!,5_544_2
All 80 million !,5_544_3
Kurt Dove so then you have to believe the courts.,5_545_1
Or move to Russia or Mars,5_545_2
Rotna Das You make no sense.,5_546_1
Then forget it,5_547_1
Marla Sherman Schwoerer https://www.oann.com/sidney-powell-files-lawsuit-claiming-iranian-chinese-operatives-potentially-targeted-dominion-voting-systems/?utm_source=rss&utm_medium=rss&utm_campaign=sidney-powell-files-lawsuit-claiming-iranian-chinese-o… See More,5_548_1
Kathy Cheshire oann is NOT a reliable source.,5_549_1
Ms. Powell is a conspiracy theorist.,5_549_2
Got anything remotely reputable??,5_549_3
